ENCSENTS	DECSENTS
""" ... where's my pill ... """	the group watching TELEVISION .
on SCHUMANN , WHO HAS cone TO THE BACK OF THE counter , AND IS emptying THE CANNISTERS .	where's my pill ... ?
... where is my pill ?	on THE MEN , IN THE ROOM , arguing ABOUT THE illegal alien , SCHUMANN IN THE B.G.
where'S MY FUCKING &lt; u &gt; PIIIILLLLLLL &lt; / u &gt; ... ?	oh , MiGod .
guess who &lt; u &gt; I &lt; / u &gt; am .	I'd like to mention a few &lt; u &gt; names &lt; / u &gt; , who ...
I know who you are , Mr. Ames .	I was acting as a Private Citizen . nothing that I've done should be construed as Reflecting on the orders or intentions of anyone with whom you may have reason to believe I am connected with . or in whose &lt; u &gt; employ &lt; / u &gt; ...
quite touching .	and I take this &lt; u &gt; opportunity &lt; / u &gt; to suggest that , equally , I admit to &lt; u &gt; nothing &lt; / u &gt; , and that I would like my lawyer present .
"guess what ? we show , and N.S.A. confirms , there &lt; u &gt; are &lt; / u &gt; no nuclear devices on the Canadian border . there are no nuclear devices in Albania . Z'at put us in something of a pickle ? Albania &lt; u &gt; has &lt; / u &gt; no nuclear capacity . our spy satellites show "" no secret terrorist camps "" in The Albanian Hinterland . the F.B.I. and the Border Patrol , And the R.C.M.P. report no repeat no untoward activity along our picturesque Canadian Border . the Albanian Government is screaming its innocence , the world is listening . there is no War ."	as are we all , and I'd like to take this opportunity to suggest that the Security of the country would be ill- served by any , any ... any ...
"any untoward "" revelation "" regarding , uh ..."	and I think that the Security of the Country would be best-served by its citizens obeying its laws . Gemme a Federal Judge , gemme search-warrants , all premises controlled by our friends , and bench-warrants for the two of ...
who we got here ... ?	John Levy , Staff , and Amy Cain , Press Off ....
alright . look here , any of you kids hear in this room : what you hear here , what you say here , what you &lt; u &gt; do &lt; / u &gt; here , f'it got out , you leaked it . tell'em what they need to know .	when it broke , he said one word : get me Ronnie Brean .
well . alright . what is it ? what's , he , uh ... ? he had an illegal immigrant , was his gardener , some years back ... ? what's the thing ? you people get ahead , you sure get nervous .	three minutes . it couldn't have been over three minutes , the Secret Service ...
we are virtually certain it isn't ...	who's got the story ?
don't you want to know if it's true ?	what difference does it make if it's true ? it's a &lt; u &gt; story &lt; / u &gt; , and , it &lt; u &gt; breaks &lt; / u &gt; they're gonna have to &lt; u &gt; run &lt; / u &gt; with it -- How long've we got til it breaks ?
front page . Washington Post . tomorrow .	well , yeah . now . that's not good . &lt; u &gt; Okay &lt; / u &gt; : &lt; u &gt; Okay &lt; / u &gt; . we'll set up the War Room &lt; u &gt; Here &lt; / u &gt; ...
when do we bring'em back ?	you gotta give me a day . I need a day . he's sick , get it out &lt; u &gt; now &lt; / u &gt; . get him on the phone'n tell him how sick he is . we got to get it out before the story breaks , so we aren't quote , responding to it . issue is as a bulletin . he's got some rare strain of ...
it won't hold .	all I need is the one day .
it won't even hold the one day , Ronnie --	yes -- It will ... Now : why is the President in China ?
we're going to have to explain away the ...	they caught him in the closet with a Girlscout . Side- effects of a pill ain't gone Trump that . you have to keep'em guessing for Two weeks . you don't have to cure Cancer , pal , you just have to give them something more interesting than ...
car and a driver , Mr. Brean , the Westgate , Now , please ...	okay , look , who's takin' the press conference today ?
what crisis ?	I'm working on it . same time , you call Billy Scott at Joint Chiefs , and pour him onna plane &lt; u &gt; right now &lt; / u &gt; to Seattle , y'got that ... ? all flustered and worried . to talk to the &lt; u &gt; Boeing &lt; / u &gt; people .
&lt; u &gt; Do &lt; / u &gt; it ...	and you ?
it won't hold , Ronnie , it won't prove out .	we don't need it to prove out . we need it to &lt; u &gt; distract &lt; / u &gt; them for two weeks til the election .
what is it ?	it's the rough-cut , the other side's new commercial .
twenty thousand dollars .	yeah , I'm gonna have to go to L.A.
Gemme a plane . business Aviation , National , one hour . fly to Chicago . o'Hare , LAX 6 A.M.	I'll see you at National .
tell , tell , tell me again .	.... we landing ?
tell me again .	lookit , don't worry about it . it's not a New concept . wake me when we touch down , will ...
we can't &lt; u &gt; afford &lt; / u &gt; a war .	"we aren't going to have a war . we're going to have the "" appearance "" of a war ."
"I'm not sure we can afford to have the "" appearance "" of a war ."	what's it gonna cost ?
"but , but , but , "" they "" would find out ."	who would find out ?
... the ...	"the American "" people "" ?"
yes	who's gonna tell'em .
... but ...	what did they find out about the Gulf War ? one shot : one bomb , falling though the roof , building coulda been made of &lt; u &gt; Legos &lt; / u &gt; .
... you want us to go to War ...	... that's the general idea .
why ?	why &lt; u &gt; not &lt; / u &gt; , what've they ever done for &lt; u &gt; us &lt; / u &gt; ... ? also : they sound ... Ah , you see , this is why we have to mobilize the B-2 &lt; u &gt; bomber &lt; / u &gt; ...
... they sound what ?	&lt; u &gt; shifty &lt; / u &gt; . who knows anything &lt; u &gt; about &lt; / u &gt; em ...
hold on , hold on , hold on :	well , I'm gonna hold on , but you went to win this election , you better change the subject . you wanna change this subject , you better have a War . what do you need ? it's gotta be &lt; u &gt; quick &lt; / u &gt; , it's gotta be &lt; u &gt; dramatic &lt; / u &gt; , you got to have an &lt; u &gt; enemy &lt; / u &gt; . okay ? what do you need in an enemy ? somebody you fear . who do you fear ? som'b&apos;y you don't know .
&lt; u &gt; Who &lt; / u &gt; ?	well , I'm &lt; u &gt; working &lt; / u &gt; on it ....
yes .	why ?
what do you know about them ?	... &lt; u &gt; nothing &lt; / u &gt; ...
precisely .	what did Albania ever do to us ?
what did they ever do &lt; u &gt; for &lt; / u &gt; us ... ? you see , this is why we have to mobilize the B-2 bomber .	... you want us to go to War with Albania .
... where is the Back End coming from ?	it's like that thing with the Yellow ribbon ...
the thing with the Yellow ribbon ...	the hostages ... ?
the hostages , but that was a naturally-occuring ... It was a put-up job ? but where was the , where was the money in that ?	in the yellow ribbon .
... the Yellow ribbon , but who , who'd profit from &lt; u &gt; that &lt; / u &gt; ...	the ribbon Manufacturers .
we'll be back tonight .	tonight . well , you've started a Tempest in a Teapot .
Waal , that's where you &lt; u &gt; want &lt; / u &gt; em ...	... I just hope ...
why is this putz on the air ...	... they're checking the ratings ... uh ...
... take a long view .	... what's the Long View ?
your guy gets four more years in Washington ... ... it's only Nine More Days .	yes . that's true . but ...
new York Times , Wash Post , Detroit register , San Diego bee , all in emission . &lt; u &gt; No &lt; / u &gt; mention of the Girlscout . none .	eight Days To Go
I &lt; u &gt; live &lt; / u &gt; for midnight , when I can tear another of those suckers off . watcha got for me ?	big Bird touches down &lt; u &gt; when &lt; / u &gt; ?
we're bring'n im in tomorrow , five AM .	anything at the Airport ?
"press thought "" no , "" whaddaya think ... ?"	&lt; u &gt; I &lt; / u &gt; think , here's what I think : s'it gonna rain ... ?
gimme the weather for tomorrow morning , five A.M. Andrews ...	an &lt; u &gt; Albanian &lt; / u &gt; , a young Albanian Girl .
no rain .	a young Albanian Girl , dressed in their ...
and carrying . the National Flower of Albania , something ..... Now Is it some Festival ? some &lt; u &gt; harvest &lt; / u &gt; Festival , something ...	get on this , right now ...
... got to be &lt; u &gt; something &lt; / u &gt; . she gives him the sacred ... And tells him : this is the traditional harvest offering , given to the Man who ties the First sheaf , the last sheaf , whatever the fuck it is ...	... this's &lt; u &gt; good &lt; / u &gt; ...
Stanley Moss , Ladeesngennlmen ... And she says ...	is she saying this in Albanian ... ?
... but to the Old World ; you are stilling the forces of hatred and of War which have , since I was a child ...	... uh huh ...
now , the Old Lady starts to &lt; u &gt; weep &lt; / u &gt; , Big Bird shrugs off his secret &lt; u &gt; Service &lt; / u &gt; , goes to her , and covers her with his own coat .	find out is there &lt; u &gt; any &lt; / u &gt; chance we can get some rain tomorrow , &lt; u &gt; will &lt; / u &gt; you ... ?
knock on wood .	speaking of thanks ... we puttem back in , what does your fellow Moss want ?
&lt; u &gt; I &lt; / u &gt; dunno .... Ambassador to &lt; u &gt; Togo &lt; / u &gt; , somethin' , &lt; u &gt; I &lt; / u &gt; dunno ... he ...	maybe he's just a &lt; u &gt; patriot &lt; / u &gt; .
yeah ... what was I talking about ... ?	how long you been up , you need a nap .
due in Nashville .	&lt; u &gt; Nashville &lt; / u &gt; ... ?
we're gonna do the &lt; u &gt; Team song &lt; / u &gt; .	you're tired , Ronnie .
... this is magnificent .	... Stanley Moss ...
... I just missed my plane .	you missed your &lt; u &gt; plane &lt; / u &gt; ? my &lt; u &gt; life &lt; / u &gt; is over . my &lt; u &gt; life &lt; / u &gt; is over . what have you &lt; u &gt; done &lt; / u &gt; to me ? what have I done ? fourteen years of Public Service ...
well , keep your &lt; u &gt; wits &lt; / u &gt; about you , and let's see if we can't ...	... fourteen years ...
... brazen-it-through ...	Brazen it through ? Brazen it &lt; u &gt; through &lt; / u &gt; ? they're going to hang us out to dry like the &lt; u &gt; laundry &lt; / u &gt; --- do you know what we've &lt; u &gt; ddd &lt; / u &gt; ...
and I'd like to point out that I've been on prescription &lt; u &gt; medication &lt; / u &gt; , the side-effects of which ...	I'm doing my job , Too . would you give me a ... do you think you could call off your Dogs for a minute .
no . I was busy . yes , I need the new poll fig .... &lt; u &gt; how &lt; / u &gt; long ? I'll call in from Nashville . and patch me through to the Big Bird , will ... ? I've got to &lt; u &gt; hand &lt; / u &gt; it to you . &lt; u &gt; They &lt; / u &gt; sure let us out of there easy ....	... they just hadn't thought it through ...
he just got Hip to us . he just ended the War .	what are we gonna &lt; u &gt; do &lt; / u &gt; about it ... ?
what are we going to do ?	the War is Over .
oh , God ...	yep . well , we started it , he ended it ...
oh , Lord ....	... those limp-dick ... &lt; u &gt; turncoat &lt; / u &gt; ... I &lt; u &gt; thought &lt; / u &gt; they let us out of there too easy .....
war's over , pal .	Gloria -- sell the House .
he thinks it's too ...	first of all , we're locked &lt; u &gt; in &lt; / u &gt; to it , &lt; u &gt; secondly &lt; / u &gt; :
Ronnie says we don't need'em for another four days . ... s'there a problem ?	"no . no ... Pentagon says , Army's got'em , they got'm in ... "" custody "" ..."
how's your wife ?	fine .
that's not bad at all .	"well , you know , "" The Whole Thing's Theatre ... """
"... child at the airport ... breaks through the ranks , runs to "" old shoe "" -- should we have &lt; u &gt; flower &lt; / u &gt; or a &lt; u &gt; bear &lt; / u &gt; ... ?"	uh ... Didn't we &lt; u &gt; do &lt; / u &gt; this ?
Wilfred .	... what have you &lt; u &gt; done &lt; / u &gt; to me ...
all Combat takes place at night , in the Rain , and at the Junction of four map Segments ...	... what are we going to do ... ?
give'em another pill ...	no . no . he didn't mean anything by it at &lt; u &gt; all &lt; / u &gt; ...
oh . hell . and what do we do now ? what do we do &lt; u &gt; now &lt; / u &gt; ? boy Producer ? Mister Win-an-Emmy , Social conscience , &lt; u &gt; Whaleshit &lt; / u &gt; , save- the-rainforest , liberal hire-a-convict &lt; u &gt; shithead &lt; / u &gt; ? Mister Affirmative-Action Peacnik . Commie ... &lt; u &gt; shithead &lt; / u &gt; .... ?	... and he spent the last twelve years in a Milit &amp; Ry Prison ...
how do we explain &lt; u &gt; that &lt; / u &gt; ?	what about him ?
Stanley , you can't do this ....	could we have you in here , please ... 7
Waal , Mr. Moss , I wouldn't ....	you wouldn't be here if it wasn't true . it's true , right ?
alright , well , alright : geopolitically ...	we've just found out They Have the Bomb . we've Just found Out They Have The &lt; u &gt; Bomb &lt; / u &gt; , aaaand ... No , No wait a second , no , no , wait a second , No . the Bomb's not ... it's not &lt; u &gt; there &lt; / u &gt; -- because they'd have to have a rocket and that shit n'they're a buncha wogs-- it's ... it's a &lt; u &gt; suitcase &lt; / u &gt; Bomb . Ooookay . it's a &lt; u &gt; suitcase &lt; / u &gt; bomb , and it's .... in Canada ! eh ? Albanian terrorists have placed a suitcase Bomb in Canada , in an attempt to infiltrate the bomb into the USA .
it's &lt; u &gt; producing &lt; / u &gt; .	no , this is great .
Ames here . &lt; u &gt; Yessir &lt; / u &gt; ...	okay . okay . the &lt; u &gt; suitcase &lt; / u &gt; Bomb ...
hello , &lt; u &gt; King &lt; / u &gt; . how the heck &lt; u &gt; are &lt; / u &gt; you ... ? &lt; u &gt; Get &lt; / u &gt; out ... &lt; u &gt; Get &lt; / u &gt; out ... Well , man , you fall in love like a &lt; u &gt; Hillbilly &lt; / u &gt; ... ditch the wife , toss the kids in the pick-up , Listen , King : &lt; u &gt; Get &lt; / u &gt; your fat redneck ass out here , &lt; u &gt; willya &lt; / u &gt; ...	... but the President wonders about the possible Albanian Backlash ...
y'see , &lt; u &gt; this &lt; / u &gt; is what producing is : you put me in a &lt; u &gt; Room &lt; / u &gt; ...	... and he's got a &lt; u &gt; negative &lt; / u &gt; rating of ...
NY Times , Washington Post , War , War , War . times got the girlscout page twelve , Post in Section Two .... horses in Mid-Stream ... ?	I don't think you're gonna need it .
well , we paid for it , we got the guys on a retainer .	they got the guys on a &lt; u &gt; retainer &lt; / u &gt; , it's cheaper , &lt; u &gt; pay &lt; / u &gt;' em , but don't lettem touch it ... Let'em leave us alone .
what can it hurt .	what can it hurt is they offend me .
gonna be fine . gonna be fine , people ? are we getting there ... ?	"a small , "" calico "" kitten , sir . "" calico . """
... can we have a white one ... ?	can we have a white one , please ...
a new &lt; u &gt; take &lt; / u &gt; on the ... Well , sir , we're coming back , we'd like you to try it out , this evening ...	listen to what I've ... listen to ... does anybody know Morse Code ?
... this is a snappy song ....	what'd ya think ?
hey , hey , I'm just the Producer , I'm just the &lt; u &gt; Stationmaster &lt; / u &gt; , Johnny Green wrote that song , and ...	all we have to do now is sell it to the President .
Mr. President , this is st ...	hi , How are ya ? &lt; u &gt; Listen &lt; / u &gt; to this , willya ...
... mmm ?	it's the gratitude of your &lt; u &gt; party &lt; / u &gt; , and of your &lt; u &gt; President &lt; / u &gt; ...
Izzat the thing ...	indeed it is .
... The Albanian Campaign ...	... like the &lt; u &gt; sound &lt; / u &gt; of it , eh ...
"we've got to put that , into the Inaugural . "" I have here , a ribbon . you haven't seen it before , and you will not see it too often &lt; u &gt; now &lt; / u &gt; . for it is the proud Possession of a few , a very few Men and Women ... it is the ribbon of the Albanian Campaign .... """	Wilfred , that's not bad .
"he , uh , has he been in the "" jail "" long ?"	... twelve years .
... and ...	"and ? no . I don't wanna know . what do you &lt; u &gt; mean &lt; / u &gt; "" and ... "" ?"
look , look , look .... He's fine , as long as he has his medication .	what happens if he doesn't have his medication ?
he's not fine .	well , get on the phone , and &lt; u &gt; get &lt; / u &gt; it ...
"you know , I think you people are looking at this All Wrong . if you look at the &lt; u &gt; backstory &lt; / u &gt; -- the guy's coming back from Combat and Torture . of &lt; u &gt; course &lt; / u &gt; he is gonna be ... uh ... uh ... "" fucked up "" . of &lt; u &gt; Course &lt; / u &gt; he's gonna "" need a little help "" ..."	oh , Lord ....
&lt; u &gt; IT destroyed THE electoral process &lt; / u &gt; .	come on .
... where ?	come on .
... his Triumphal plane . shot Down .	shot down , forced down ... You guys are &lt; u &gt; missing &lt; / u &gt; it ... You're missing the &lt; u &gt; opportunity &lt; / u &gt;
you can't tell this story . he's not kidding you . you can't tell this story . &lt; u &gt; You &lt; / u &gt; knew that . the pay off was , you get to be Ambassador , or ...	no , no , no ...
... how do we Explain That ? hey ? am I worried ... ?	... how do we explain that ? with the World Watching .
&lt; u &gt; Fuck &lt; / u &gt; the world . try a ten A.M. &lt; u &gt; pitch &lt; / u &gt; meeting , no sleep , coked-to-the-gills , and you haven't even read the &lt; u &gt; material &lt; / u &gt; .	but how do we explain the fact he was in prison ?
I'm concerned about the driver of the rig .	what rig ?
Naa , fuck this , this is nothing . oh , Lord -- this just got &lt; u &gt; Big &lt; / u &gt; . I see it -- &lt; u &gt; Big &lt; / u &gt; -- Big for &lt; u &gt; you &lt; / u &gt; and big for &lt; u &gt; me &lt; / u &gt; .	what are you talking about ?
he's &lt; u &gt; dead &lt; / u &gt; . he's &lt; u &gt; dead &lt; / u &gt; . the fella killed Old shoe .	and &lt; u &gt; what &lt; / u &gt; is bigger than a triumphal Homecoming ... ?
you want some research , flu ? Side-effects of medi ....	naw , we can't play this one catch-up . that's how long since you stopped beating the wife . we have to ...
... tonight ...	you're with him tonight , watching the President's Speech , when the President ...
what if he's busy tonight ?	&lt; u &gt; lure &lt; / u &gt; him .
what are you saying ...	well , darlin' &lt; u &gt; I &lt; / u &gt; ain't your confessor . tell him you've got some info on the President's sex scandal , it's on your conscience , believe me , he'll drop what he's doing . okay ; &lt; u &gt; Now &lt; / u &gt; : folks , folks , folks , this is a shitty business , and it needs no Ghost Come From the Grave to tell us that . but in Six Days , Lord willing n'Jesus Tarries , I am going to take you beauties into the second term . ..... wait til you hear the speech tonight . the 3-0-3 Speech ... where's the Fad King , by the way ...
... on the way in .	when you ... What ? I'm busy .
it's the White House .	&lt; u &gt; Hello &lt; / u &gt; . what ?
what about it ?	for Schumann .
to the first LETAC engineer to go into production on prototypes .	as long as you keep overpaying me , I'll be the first to go into production on three , and four , as well .
as long as they keep overpaying me , I'll keep overpaying you . ) Just make goddam sure you can have 10 of them ready for deployment around the city by next month .	Mr. Wallace , I could have 10 of them ready by tomorrow .
do they have to look so ... robotic ?	at this stage , you either get form or function . you said she wanted function . I gave you function . what are you complaining about ?
where's John ?	performing solo . enjoying the concert so far ?
the only thing I want to hear is your silence .	I must make them very nervous if they let you out of prison . you know , we have so much in common — — we have such history together — — I've been thinking we should become friends .
you and me have nothing in common .	who else do you know who touches the world with synthetic hands ?
you ... mother ... fucker ! I'M GOING TO KILL YOU ! ! !	now , is that any way to talk to an old buddy ? I mean , just because I'm carrying around the joy of killing your family inside me doesn't mean we can't be friends .
Grimes , YOU'RE DEAD !	I'm sorry , the party you're trying to reach is not answering . is there anyone else you would like to talk to ?
dead ! you HEAR ME ?	you really are pathetic , you know that ? Mathew Grimes is only one letter in my alphabet . he is nothing compared to me .
I wouldn't pull the trigger if I were you — —	why's that ?
what C-4 ... was Cox talking about ?	let me put it to you this way ... whether I'm here ... or whether I'm not ... I'm leaving an indelible mark on the world tomorrow night .
let me put it to you this way ... whether I'm here ... or whether I'm not ... I'm leaving an indelible mark on the world tomorrow night .	where did you plant the C-4 ? !
you can't die until you tell me where the C-4 is . where is it ? !	my ... secret .
it's really too bad you have to miss the Grand Finale .	I thought you liked me being in the audience . don't you want me to see it ?
there you go — — best seat in the house .	you are going after Mayor Bennett .
let's just say I'm sending a very clear message to his re — election rally ...	aren't you going to watch with me ?
what are you talking about ?	I really did think I was still in reality . at least , until now . beam me up , Scotty !
now , is that any way to talk to an old friend ?	Barnes , YOU'RE DEAD !
you actually listen to all those tapes ?	no , I just like the effect a tape recorder has on you . how you feeling today ?
a little less than yesterday .	in other words , par for the course . how do you feel about the simulation you participated in yesterday ?
John died .	I know . I was there . I saw the whole thing . if I was your therapist , I would have advised you against putting yourself back into that kind of situation .
that's not true , Parker .	if I had died yesterday , you'd have already dissected my brain and analyzed it to see if I carry any genetic predisposition toward violence .
what was going through your mind when you killed the busboy ?	not much . he was just a computer program . nothing more .
you didn't see the expression you had on your face when you pulled the trigger . but I did . you kind of liked it , didn't you ? that thrill of going over the edge again . of taking out an innocent bystander or two , as long as you got the target ...	go to hell .
it was just like before , wasn't it ? wasn't it ? but you are making progress . instead of killing seven people to get the one you're after , this time there was only one other person involved .	enough !
I don't need a baby — sitter .	what you need is a collar .
it wasn't a lie .	every time I said it , it was . I never really thought I was going to make it .
you all right ?	fine . never felt better in my life . see , I'm a good liar .
you ready for this ?	don't worry . if I can't handle it , I'll just kill everybody .
he was re — enacting Charles Manson's LaBianca murders .	Manson didn't kill the first cops to arrive on the scene .
whoever did this wanted to do Charlie one better — — to improve upon what was already done .	Charlie ? you say that like you're close , personal friends .
I've spent over 50 hours interviewing him . Charlie killed Leno and Rosemary LaBianca because of the ugly way the members of his family had butchered Sharon Tate . after seeing the blood bath on television , he wanted to show them how it should be done . the question is , what does Charlie have to do with Sid 6.7 ?	I know who would know .
learn anything from Lindenmeyer's file ?	he had a twin brother who was a musical child prodigy who died in an electrical accident at age eight . Lindenmeyer went into an emotional shell until was 17 . all he did day and night was play the violin .
you've got a problem with me carrying a gun ?	do me one favor — — if you shoot at anything , make sure I'm nowhere near it .
what are you doing ?	checking my pulse . it's elevated . you enjoy frightening me , don't you ?
you've studied me , now I'm studying you . seems only fair , don't you think ?	this Lindenmeyer's a real piece of work .
I've been in prison , remember ?	the government must have figured there was no better person to create a psycho than a psycho .
just like they figured there was no better person to catch one ...	I am the demon from the bottomless pit ...
... here on earth to create havoc and terror . I am War , I am death . I am destruction . David Berkowitz , 1977 .	I am impressed .
for murder , though it have no tongue , will speak with most miraculous organ .	who said that ?
Hamlet . what's David Berkowitz got to do with Sid 6.7 ?	he's part of the mix . Sid 6.7 is a composite .
Lindenmeyer put increasingly complex combinations of criminal psychological profiles together to develop the ultimate villain .	creating a whole far more dangerous than the sum of its parts .
this is getting you pumped up , isn't it ? this is like the World Series to you .	as a matter of fact , it is .
remember the bowling ball bag Sid carried with him in virtual reality ?	Dahmer carried the head of one of his victims in a bowling bag for over a week . kept it in his locker while he was at work in a candy factory . we need to get a look at Sid 6.7's final profile .
what we need to do is stop playing with computers and go catch the son — of-a-bitch before he kills anybody else .	in order to find him , we have to understand what makes him tick ...
give me your wrist .	give me a goddam break . I'm not going to go anywhere alone .
why didn't you tell me you had a daughter ?	I prefer keeping my professional life separate from my personal life .
she's beautiful , you know ?	thank-you . her name is Karin .
want to tell me the real reason we stopped at your house ?	I told you , it was on the way and I wanted to change clothes .
you should practice lying more often . you're awful at it . where to ?	Sid 6.7 is no longer bound by his programming .
what does that mean ?	now that he's in the real world , there are no longer limitations on his behavior like there were in virtual reality . Sid is going to evolve .
sounds to me like a well — educated way of saying you have no idea what to do next .	what I do know is that whatever he's becoming , Sid 6.7 is going to be even worse than he was before .
I forgot what real coffee tastes like ...	you know , considering you've only been out of prison for seven hours , you're re — adapting quite well . wait , I didn't mean that the way it sounded . I meant ...
don't worry about it , all right ?	dammit , I hate sounding so clinical all the time . all I meant to say was I thought you were doing well , but then I ...
relax . I know what you meant .	I ruin so many moments by analyzing them when I should just be living them .
don't get out of the car .	stop me .
what the hell's going on ? !	this is my area of expertise .
enjoying yourself ?	you know I am .
this isn't a game , Parker !	tell him .
what's the problem ?	I'm doing the best I can !
whatever he was doing here was only the start .	start of what ?
it's not just Sid 6.7's performances that are increasing . stars need bigger and bigger audiences . whatever Sid is going to do next , it's going to involve media .	you like baseball ?
real effective security ...	you could have just flashed him your badge , you know ?
which way ?	both .
Parker - — stop ! stop ! don't make me shoot you — —	if you're gonna do it , better do it now .
Grimes is back ! he's back ! he's come back ! ! !	no ! Grimes isn't back . he's only one part of Sid . Sid 6.7 is a hell of a lot worse than Grimes ever was . get a hold of yourself !
we know you didn't kill those guards .	they're going to fry me for it , anyway .
how did you find out about the toxin ?	Sid 6.7 told me after he killed the two guards . he suggested I kill you rather than him .
you're not capable of it .	I pose an unacceptable danger to the public , remember ?
I told you before , Grimes liked to be obvious .	Sid 6.7 isn't Grimes .
if we find Sid , Lindenmeyer won't be far behind .	think he's keeping track of his creation ?
that , or living through him ...	see something ?
I'm not sure ... on the bridge ... the guy at the payphone ...	nice work .
can I ask you something ?	you mean there's something you haven't asked me ?
you've already fulfilled the terms of your pardon . you stopped Sid 6.7 and you've got his module . you're free to go — — right now . why are you going to do this ?	you don't know ?
that's why I'm asking .	because this pain — in — the — ass criminal psychology expert has helped me understand what I'm capable of . and what I'm not . and better than anyone else , I am capable of stopping Sid 6.7 .
you okay ?	... I think so ... You ?
more or less .	Lindenmeyer ?
my guess is dead .	Sid ?
how's your pulse ?	I couldn't tell you .
then shoot him already .	duck !
what do we do now ?	you won't want to watch . turn around .
don't be angry with me , Daryl .	did you recognize the son-of-a bitch who got away ?
should I have ?	think hard -- it'll come to you ...
true genius is rarely rewarded within its lifetime .	it was you , wasn't it ?
it was me , what ?	you amped the neural connectors back up , didn't you ? you're the reason the convict died . you're the reason I got fired !
I couldn't just let them make you bring down my degree of difficulty . I'm a triple-twisting , double back flip off the high platform , not a swan dive .	my God ...
which God would that be , the one who created me , or the one who created you ? in your world , the Lord giveth , and the Lord taketh away . but in my world , the one who gave me life doesn't have the balls to stop a couple of bureaucratic assholes from taking it away .	what do you expect me to do , put your character module in my pocket and just walk you out of here ?
you catching my drift ?	I think I understand what you have in mind ...
Sid — — NO ! ! !	what do you expect me to do , thank him ?
I am beautiful , aren't I ?	of course you are .
help me get out of here .	glad to ...
you made me a composite of 183 of the most vicious people who ever lived . what do you think I'm doing ?	I'm begging you ... please don't kill me ! please !
I told you this would work .. By setting back the clocks , he has absolutely no idea he's in virtual reality . he still thinks he's in the real world .	what's wrong with Parker ?
how should I know ?	show me his physical sensory level .
I wonder how that ...	turn it down !
he's developing a Hemisphere imbalance .	talk so I can understand .
if I don't adjust the level of neural information each side of his brain is receiving , he won't be able to walk when I take him out of VR .	then fix it .
hey ! ! !	show's over unless I get to see what you've been working on after hours .
I haven't been working on anything .	do I get to see it or not ?
get that fucking thing away from me !	you're ... such a wimp .
watching your VR people Auto reset gave me the idea .	it's nano — technology , isn't it ? machines the size of molecules ...
coordinated by polymer neural net .	it feels so .. .real.
it's better than real . it's synthetic flesh . synthetic blood . synthetic organs ... It's a physiological machine .	this is supposed to be years away .
as far as the public is concerned , it is . the reason you got fired , and I got my second demo into production , is I'm a lot smarter than you . I never give my best stuff away .	how do you kill it ?
amazing . I hate to say it , but it is .	I know . I'm ready to incubate something a little more advanced than a coldblooded reptile . if you want to experience the future , meet me in my office in 15 minutes . and bring the Sheila 3.2 character module with you ...
you need a maid .	what I need is a nymphomaniac .
you embarrassed me in front of the highest — ranking law enforcement official in the country . do you have any idea how much money you just cost me ?	the reason you insisted on testing my system with prisoners is because of the increased risks involved with increased realism .
I'm still making Adjustments ...	you've had a year — and — a — half to make all the Adjustments you want , Lindenmeyer . ) Elizabeth Deane does not give second chances . neither do I. You're fired .
I'M WHAT ? !	you are to turn over the Sid 6.7 program , and all its documentation , for immediate destruction . is that understood ?
how does he know who I am ?	he hears ... everything .
what did Cox pull him out early for ?	Barnes used to work for him when he was still a cop in the field , remember ?
what the hell happened ?	Lindenmeyer developed neural connectors that tap directly into the nervous system . if the simulator isn't calibrated properly , experiencing death in this level of VR is like experiencing death within a dream . the experience becomes real .
simulations are supposed to give participants practice in realistic , dangerous scenarios while protecting them from the risks they are exposed to in the real world .	I was assured the problem was corrected .
it makes me nervous just seeing him in a uniform . I will never forget the first time I saw the photos from the crime scene .	neither will the public . the media has caught wind of his pardon . unless Mr. Barnes starts giving me some tangible results , I'm going to put him back in his cage .
I watched your simulation , Mr. Barnes . very impressive . you know , you're the only one to ever go up against Sid 6.7 who is still alive .	only because I got pulled out early .
not from in here .	this is a full pardon . it authorizes your immediate release .
if Sid 6.7 hasn't killed you , we throw you back in here and you serve out the rest of your sentence .	how do you know I won't run ?
Barnes , where the hell have you been ? !	trying to find out where the bomb is . where the hell have you been ?
what did you find out ?	call off the manhunt looking for me . I didn't kill the transport guards .
it's already been called off . witnesses confirmed you weren't the shooter . did you find out where the bomb is ?	no , but I've confirmed the reelection rally is the target . how much C-4 is missing ?
enough to level an entire city block .	if I were you , I'd get every demolition team in the city searching in and around the Biltmore Hotel .
demolition teams have searched everywhere in and around the hotel . I don't know where ...	Sid is smart enough to know you'd check everywhere in the immediate area . whatever the device is , he's probably got it timed to move into position just before it detonates . have the demo teams check every subway tunnel , water pipe , gas pipe , and sewer pipe that goes under , over , or into the arena .
you know how much man power you're talking about ?	you're the highest law enforcement official in the country . use the fucking army if you need to .
this better not be a wild goose chase .	or what , you'll authorize my death a second time today ?
Ms. Deane , you wanted to see me ?	we have an emergency situation which requires somebody with expertise in criminal psychology . under the authority vested in me by the President , I'm giving you temporary re — assignment .
letting a lunatic like Parker Barnes loose in the free world is like lighting a fuse . at some point , he will go off -- you saw what happened in the simulator . the risk to the public is unacceptably dangerous .	not if you're with him every step of the way .
